Nx,Ny,Particles,Iteration,Interp(s),Mover(s),Total(s),Deleted
250,100,100,1,0.000081,0.000001,0.000082,2
250,100,100,2,0.000008,0.000001,0.000009,0
250,100,100,3,0.000008,0.000001,0.000008,2
250,100,100,4,0.000007,0.000001,0.000008,0
250,100,100,5,0.000008,0.000001,0.000008,0
250,100,100,6,0.000008,0.000001,0.000008,1
250,100,100,7,0.000007,0.000001,0.000008,2
250,100,100,8,0.000007,0.000001,0.000008,0
250,100,100,9,0.000008,0.000001,0.000008,1
250,100,100,10,0.000008,0.000001,0.000008,2
250,100,10000,1,0.000213,0.000072,0.000286,71
250,100,10000,2,0.000132,0.000072,0.000205,45
250,100,10000,3,0.000128,0.000071,0.000199,43
250,100,10000,4,0.000127,0.000072,0.000199,35
250,100,10000,5,0.000128,0.000071,0.000198,32
250,100,10000,6,0.000127,0.000072,0.000199,46
250,100,10000,7,0.000130,0.000071,0.000201,26
250,100,10000,8,0.000127,0.000072,0.000199,29
250,100,10000,9,0.000127,0.000072,0.000198,32
250,100,10000,10,0.000136,0.000072,0.000207,28
250,100,1000000,1,0.012016,0.007202,0.019218,6940
250,100,1000000,2,0.011969,0.007280,0.019249,4799
250,100,1000000,3,0.011985,0.007122,0.019107,3819
250,100,1000000,4,0.011916,0.007094,0.019010,3247
250,100,1000000,5,0.012063,0.007134,0.019196,3026
250,100,1000000,6,0.012001,0.007105,0.019105,2719
250,100,1000000,7,0.011896,0.007101,0.018997,2542
250,100,1000000,8,0.011910,0.007112,0.019022,2398
250,100,1000000,9,0.011873,0.007148,0.019021,2225
250,100,1000000,10,0.011879,0.007217,0.019096,2190
250,100,100000000,1,1.243174,0.719105,1.962279,697065
250,100,100000000,2,1.240074,0.715512,1.955586,471023
250,100,100000000,3,1.240144,0.714115,1.954259,384786
250,100,100000000,4,1.240270,0.713527,1.953797,331311
250,100,100000000,5,1.239501,0.712004,1.951505,297044
250,100,100000000,6,0.769578,0.543868,1.313446,271537
250,100,100000000,7,0.735429,0.543307,1.278735,251461
250,100,100000000,8,0.735189,0.543546,1.278735,236214
250,100,100000000,9,0.734602,0.543538,1.278140,224123
250,100,100000000,10,0.735036,0.543041,1.278076,212056
250,100,1000000000,1,7.574417,5.562103,13.136521,6991190
250,100,1000000000,2,7.535848,5.550190,13.086038,4697493
250,100,1000000000,3,7.575072,5.548340,13.123412,3836752
250,100,1000000000,4,7.527841,5.539226,13.067067,3320085
250,100,1000000000,5,7.525366,5.570089,13.095455,2971216
250,100,1000000000,6,7.638545,5.839314,13.477859,2718366
250,100,1000000000,7,8.134696,5.533424,13.668119,2517244
250,100,1000000000,8,7.504970,5.541636,13.046606,2360828
250,100,1000000000,9,7.557001,5.986531,13.543533,2228930
250,100,1000000000,10,9.709755,5.733093,15.442848,2121153
500,200,100,1,0.000293,0.000001,0.000293,2
500,200,100,2,0.000036,0.000001,0.000036,0
500,200,100,3,0.000038,0.000001,0.000038,1
500,200,100,4,0.000038,0.000001,0.000038,1
500,200,100,5,0.000038,0.000001,0.000038,0
500,200,100,6,0.000038,0.000001,0.000038,0
500,200,100,7,0.000038,0.000001,0.000038,0
500,200,100,8,0.000038,0.000001,0.000038,0
500,200,100,9,0.000038,0.000001,0.000038,0
500,200,100,10,0.000038,0.000001,0.000038,0
500,200,10000,1,0.000348,0.000055,0.000404,30
500,200,10000,2,0.000123,0.000061,0.000184,21
500,200,10000,3,0.000156,0.000063,0.000219,31
500,200,10000,4,0.000160,0.000055,0.000215,14
500,200,10000,5,0.000123,0.000055,0.000178,28
500,200,10000,6,0.000123,0.000055,0.000178,21
500,200,10000,7,0.000123,0.000055,0.000178,23
500,200,10000,8,0.000125,0.000055,0.000180,11
500,200,10000,9,0.000123,0.000055,0.000178,12
500,200,10000,10,0.000123,0.000055,0.000178,12
500,200,1000000,1,0.011716,0.005689,0.017405,3458
500,200,1000000,2,0.011335,0.005500,0.016834,2372
500,200,1000000,3,0.011279,0.005549,0.016829,1877
500,200,1000000,4,0.011246,0.005589,0.016835,1665
500,200,1000000,5,0.011284,0.005505,0.016789,1518
500,200,1000000,6,0.011224,0.005532,0.016756,1311
500,200,1000000,7,0.011267,0.005546,0.016813,1299
500,200,1000000,8,0.011322,0.005528,0.016849,1196
500,200,1000000,9,0.011266,0.005586,0.016852,1106
500,200,1000000,10,0.011202,0.005525,0.016728,1030
500,200,100000000,1,1.126538,0.560430,1.686968,348809
500,200,100000000,2,1.125654,0.568199,1.693853,234493
