Nx,Ny,Particles,Iteration,Interp(s),Mover(s),Total(s),Deleted
1000,400,10000,3,0.000157,0.000095,0.000252,15
1000,400,10000,4,0.000163,0.000095,0.000258,11
1000,400,10000,5,0.000158,0.000095,0.000253,8
1000,400,10000,6,0.000157,0.000095,0.000252,9
1000,400,10000,7,0.000158,0.000095,0.000252,4
1000,400,10000,8,0.000160,0.000095,0.000255,8
1000,400,10000,9,0.000157,0.000095,0.000252,8
1000,400,10000,10,0.000157,0.000095,0.000252,9
1000,400,1000000,1,0.008683,0.009052,0.017735,1795
1000,400,1000000,2,0.007886,0.009320,0.017206,1155
1000,400,1000000,3,0.007961,0.009371,0.017332,989
1000,400,1000000,4,0.008503,0.009684,0.018187,825
1000,400,1000000,5,0.008616,0.009471,0.018087,703
1000,400,1000000,6,0.008053,0.008923,0.016976,688
1000,400,1000000,7,0.007922,0.008793,0.016715,661
1000,400,1000000,8,0.007515,0.008751,0.016266,610
1000,400,1000000,9,0.007581,0.008592,0.016173,569
1000,400,1000000,10,0.007549,0.008543,0.016091,555
1000,400,100000000,1,0.748720,0.888855,1.637575,175118
1000,400,100000000,2,0.749385,0.862520,1.611905,116623
1000,400,100000000,3,0.748598,0.857268,1.605866,94648
1000,400,100000000,4,0.749228,0.855733,1.604961,82244
1000,400,100000000,5,0.749421,0.894643,1.644064,73258
1000,400,100000000,6,0.748518,0.858010,1.606527,66509
1000,400,100000000,7,0.749296,0.855937,1.605233,61979
1000,400,100000000,8,0.753263,0.855137,1.608399,58012
1000,400,100000000,9,0.751917,0.912216,1.664133,54165
1000,400,100000000,10,0.749187,0.869982,1.619169,51260
1000,400,1000000000,1,42.844764,20.256867,63.101631,1749831
1000,400,1000000000,2,14.706123,20.266576,34.972699,1169058
1000,400,1000000000,3,20.879051,24.021429,44.900479,949977
1000,400,1000000000,4,21.016831,24.149453,45.166284,821466
1000,400,1000000000,5,23.667059,25.349932,49.016992,733472
1000,400,1000000000,6,23.923925,21.750162,45.674087,667915
1000,400,1000000000,7,29.415649,24.461140,53.876789,617965
1000,400,1000000000,8,26.991533,28.181425,55.172958,578391
1000,400,1000000000,9,24.136861,29.607820,53.744681,544608
1000,400,1000000000,10,23.486362,29.765352,53.251715,515701
