Nx,Ny,Particles,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,100,0.000069,0.000009,0.000078,6.9e-06,1e-06,7.899999999999999e-06,6,0.60
250,100,10000,0.000362,0.000897,0.001259,3.6099999999999997e-05,8.979999999999999e-05,0.00012590000000000002,366,36.60
250,100,1000000,0.029054,0.086807,0.115861,0.0029055,0.0086807,0.0115859,33836,3383.60
250,100,100000000,2.883462,8.785847,11.669309,0.2883461,0.8785847999999999,1.1669309,3376001,337600.10
250,100,1000000000,173.646458,239.244880,412.891338,17.3646456,23.924488,41.2891337,33761132,3376113.20
500,200,100,0.000328,0.000010,0.000338,3.26e-05,1e-06,3.36e-05,6,0.60
500,200,10000,0.000651,0.000951,0.001602,6.51e-05,9.520000000000001e-05,0.00016,193,19.30
500,200,1000000,0.034513,0.090965,0.125479,0.0034514999999999997,0.0090967,0.012547800000000001,16909,1690.90
500,200,100000000,3.157774,8.705650,11.863423,0.3157774,0.8705649,1.1863423000000002,1673304,167330.40
500,200,1000000000,177.852640,211.463414,389.316054,17.785263899999997,21.1463415,38.9316054,16756954,1675695.40
1000,400,100,0.001636,0.000010,0.001646,0.0001639,1e-06,0.00016480000000000002,2,0.20
1000,400,10000,0.002277,0.000948,0.003225,0.0002277,9.5e-05,0.00032260000000000004,102,10.20
1000,400,1000000,0.080270,0.090500,0.170770,0.0080269,0.009049999999999999,0.0170768,8550,855.00
1000,400,100000000,7.497534,8.710298,16.207832,0.7497533,0.8710300999999999,1.6207832,833816,83381.60
1000,400,1000000000,251.068159,247.810155,498.878314,25.1068158,24.7810156,49.8878315,8348384,834838.40
