Config, NX, NY, NumPoints, TotalInterpTime(s)
1, 250, 100, 100, 0.000238
1, 250, 100, 10000, 0.001437
1, 250, 100, 1000000, 0.121340
1, 250, 100, 100000000, 11.397261
2, 500, 200, 100, 0.001328
2, 500, 200, 10000, 0.002450
2, 500, 200, 1000000, 0.131288
2, 500, 200, 100000000, 11.709858
3, 1000, 400, 100, 0.003768
3, 1000, 400, 10000, 0.005524
3, 1000, 400, 1000000, 0.157921
3, 1000, 400, 100000000, 14.032561
