Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
500,200,14000000,4,9,0.083000,0.028000,0.000000,0.111000,15293
500,200,14000000,4,10,0.093000,0.030000,0.000000,0.123000,14914
500,200,14000000,8,1,0.117000,0.052000,0.000000,0.169000,48767
500,200,14000000,8,2,0.139000,0.043000,0.000000,0.182000,32559
500,200,14000000,8,3,0.135000,0.033000,0.000000,0.168000,26713
500,200,14000000,8,4,0.094000,0.039000,0.000000,0.133000,23012
500,200,14000000,8,5,0.115000,0.040000,0.000000,0.155000,20512
500,200,14000000,8,6,0.102000,0.043000,0.000000,0.145000,18639
500,200,14000000,8,7,0.098000,0.035000,0.000000,0.133000,17844
500,200,14000000,8,8,0.088000,0.032000,0.000000,0.120000,16334
500,200,14000000,8,9,0.084000,0.031000,0.000000,0.115000,15560
500,200,14000000,8,10,0.088000,0.031000,0.000000,0.119000,14724
500,200,14000000,16,1,0.093000,0.034000,0.000000,0.127000,48878
500,200,14000000,16,2,0.104000,0.046000,0.000000,0.150000,33029
500,200,14000000,16,3,0.109000,0.034000,0.000000,0.143000,26812
500,200,14000000,16,4,0.092000,0.036000,0.000000,0.128000,23049
500,200,14000000,16,5,0.086000,0.034000,0.000000,0.120000,20777
500,200,14000000,16,6,0.091000,0.036000,0.000000,0.127000,18695
500,200,14000000,16,7,0.089000,0.035000,0.000000,0.124000,17448
500,200,14000000,16,8,0.088000,0.034000,0.000000,0.122000,16563
500,200,14000000,16,9,0.087000,0.033000,0.000000,0.120000,15643
500,200,14000000,16,10,0.087000,0.033000,0.000000,0.120000,14843
1000,400,14000000,1,1,0.094000,0.065000,0.000000,0.159000,17612
1000,400,14000000,1,2,0.092000,0.063000,0.000000,0.155000,12791
1000,400,14000000,1,3,0.091000,0.073000,0.000000,0.164000,10745
1000,400,14000000,1,4,0.099000,0.064000,0.000000,0.163000,10046
1000,400,14000000,1,5,0.108000,0.072000,0.000000,0.180000,9341
1000,400,14000000,1,6,0.123000,0.069000,0.000000,0.192000,9164
1000,400,14000000,1,7,0.103000,0.066000,0.000000,0.169000,8789
1000,400,14000000,1,8,0.103000,0.062000,0.000000,0.165000,8567
1000,400,14000000,1,9,0.086000,0.062000,0.000000,0.148000,8332
1000,400,14000000,1,10,0.094000,0.062000,0.000000,0.156000,8054
1000,400,14000000,2,1,0.170000,0.055000,0.000000,0.225000,24598
1000,400,14000000,2,2,0.107000,0.059000,0.000000,0.166000,16402
1000,400,14000000,2,3,0.112000,0.066000,0.000000,0.178000,13395
1000,400,14000000,2,4,0.137000,0.061000,0.000000,0.198000,11459
1000,400,14000000,2,5,0.089000,0.047000,0.000000,0.136000,10208
1000,400,14000000,2,6,0.091000,0.058000,0.000000,0.149000,9304
1000,400,14000000,2,7,0.095000,0.058000,0.000000,0.153000,8477
1000,400,14000000,2,8,0.099000,0.058000,0.000000,0.157000,7827
1000,400,14000000,2,9,0.096000,0.055000,0.000000,0.151000,7742
1000,400,14000000,2,10,0.091000,0.057000,0.000000,0.148000,7186
1000,400,14000000,4,1,0.100000,0.031000,0.000000,0.131000,24669
1000,400,14000000,4,2,0.091000,0.029000,0.000000,0.120000,16784
1000,400,14000000,4,3,0.088000,0.033000,0.000000,0.121000,13542
1000,400,14000000,4,4,0.088000,0.035000,0.000000,0.123000,11713
1000,400,14000000,4,5,0.092000,0.030000,0.000000,0.122000,10523
1000,400,14000000,4,6,0.103000,0.030000,0.000000,0.133000,9539
1000,400,14000000,4,7,0.097000,0.030000,0.000000,0.127000,9024
1000,400,14000000,4,8,0.091000,0.030000,0.000000,0.121000,8360
1000,400,14000000,4,9,0.091000,0.032000,0.000000,0.123000,7861
1000,400,14000000,4,10,0.110000,0.041000,0.000000,0.151000,7213
1000,400,14000000,8,1,0.247000,0.046000,0.000000,0.293000,25057
1000,400,14000000,8,2,0.229000,0.041000,0.000000,0.270000,16551
1000,400,14000000,8,3,0.161000,0.041000,0.000000,0.202000,13451
