Nx,Ny,Particles,Iteration,Interp(s),Mover(s),Total(s),Deleted
250,100,100,1,0.000053,0.000001,0.000054,2
250,100,100,2,0.000003,0.000000,0.000004,0
250,100,100,3,0.000003,0.000000,0.000004,2
250,100,100,4,0.000003,0.000000,0.000004,0
250,100,100,5,0.000003,0.000000,0.000004,0
250,100,100,6,0.000003,0.000000,0.000004,1
250,100,100,7,0.000003,0.000000,0.000004,2
250,100,100,8,0.000003,0.000000,0.000004,0
250,100,100,9,0.000003,0.000000,0.000004,1
250,100,100,10,0.000003,0.000000,0.000004,2
250,100,10000,1,0.000080,0.000039,0.000120,71
250,100,10000,2,0.000031,0.000039,0.000070,45
250,100,10000,3,0.000031,0.000039,0.000070,43
250,100,10000,4,0.000031,0.000042,0.000073,35
250,100,10000,5,0.000034,0.000041,0.000075,32
250,100,10000,6,0.000033,0.000041,0.000074,46
250,100,10000,7,0.000031,0.000038,0.000069,26
250,100,10000,8,0.000031,0.000039,0.000069,29
250,100,10000,9,0.000031,0.000039,0.000069,32
250,100,10000,10,0.000031,0.000038,0.000070,28
250,100,1000000,1,0.003251,0.004368,0.007619,6940
250,100,1000000,2,0.003500,0.004356,0.007856,4799
250,100,1000000,3,0.003100,0.004005,0.007106,3819
250,100,1000000,4,0.003044,0.003977,0.007021,3247
250,100,1000000,5,0.002992,0.003959,0.006951,3026
250,100,1000000,6,0.002894,0.003811,0.006705,2719
250,100,1000000,7,0.002855,0.003800,0.006655,2542
250,100,1000000,8,0.002837,0.003795,0.006632,2398
250,100,1000000,9,0.002847,0.003809,0.006656,2225
250,100,1000000,10,0.002838,0.003813,0.006651,2190
250,100,100000000,1,0.286311,0.388590,0.674901,697065
250,100,100000000,2,0.286336,0.385291,0.671627,471023
250,100,100000000,3,0.287111,0.385466,0.672577,384786
250,100,100000000,4,0.286840,0.385718,0.672558,331311
250,100,100000000,5,0.286430,0.385489,0.671920,297044
250,100,100000000,6,0.287398,0.387599,0.674997,271537
250,100,100000000,7,0.286724,0.383445,0.670169,251461
250,100,100000000,8,0.286263,0.384295,0.670558,236214
250,100,100000000,9,0.287412,0.388507,0.675919,224123
250,100,100000000,10,0.286448,0.384744,0.671192,212056
250,100,1000000000,1,44.537161,23.783097,68.320257,6991190
250,100,1000000000,2,12.431054,17.735347,30.166400,4697493
250,100,1000000000,3,20.944134,13.912521,34.856655,3836752
250,100,1000000000,4,18.527755,21.106431,39.634186,3320085
250,100,1000000000,5,15.518505,12.446144,27.964649,2971216
250,100,1000000000,6,10.074500,15.156234,25.230734,2718366
250,100,1000000000,7,10.359643,22.644777,33.004420,2517244
250,100,1000000000,8,19.960766,17.568124,37.528890,2360828
250,100,1000000000,9,12.749053,24.018748,36.767801,2228930
250,100,1000000000,10,16.905657,16.782842,33.688499,2121153
500,200,100,1,0.000232,0.000001,0.000232,2
500,200,100,2,0.000013,0.000000,0.000014,0
500,200,100,3,0.000013,0.000000,0.000014,1
500,200,100,4,0.000013,0.000000,0.000014,1
500,200,100,5,0.000013,0.000000,0.000014,0
500,200,100,6,0.000013,0.000000,0.000014,0
500,200,100,7,0.000013,0.000000,0.000014,0
500,200,100,8,0.000013,0.000000,0.000014,0
500,200,100,9,0.000013,0.000000,0.000014,0
500,200,100,10,0.000013,0.000000,0.000014,0
500,200,10000,1,0.000305,0.000045,0.000350,30
500,200,10000,2,0.000048,0.000043,0.000091,21
500,200,10000,3,0.000048,0.000043,0.000091,31
500,200,10000,4,0.000048,0.000043,0.000091,14
500,200,10000,5,0.000048,0.000043,0.000092,28
500,200,10000,6,0.000048,0.000043,0.000091,21
500,200,10000,7,0.000048,0.000043,0.000091,23
500,200,10000,8,0.000046,0.000041,0.000087,11
500,200,10000,9,0.000046,0.000041,0.000087,12
500,200,10000,10,0.000050,0.000041,0.000091,12
500,200,1000000,1,0.003831,0.004282,0.008113,3458
500,200,1000000,2,0.003650,0.004262,0.007912,2372
500,200,1000000,3,0.003586,0.003970,0.007556,1877
500,200,1000000,4,0.003367,0.003971,0.007338,1665
500,200,1000000,5,0.003349,0.004015,0.007364,1518
500,200,1000000,6,0.003445,0.004002,0.007447,1311
500,200,1000000,7,0.003410,0.004059,0.007468,1299
500,200,1000000,8,0.003404,0.004036,0.007440,1196
500,200,1000000,9,0.003356,0.003958,0.007314,1106
500,200,1000000,10,0.003332,0.003929,0.007260,1030
500,200,100000000,1,0.316548,0.390091,0.706639,348809
500,200,100000000,2,0.314423,0.388053,0.702475,234493
500,200,100000000,3,0.314810,0.384326,0.699135,191022
500,200,100000000,4,0.316481,0.385680,0.702162,164912
500,200,100000000,5,0.319823,0.386713,0.706536,147084
500,200,100000000,6,0.316881,0.387597,0.704478,134359
500,200,100000000,7,0.321896,0.384315,0.706210,124121
500,200,100000000,8,0.315766,0.383932,0.699698,116596
500,200,100000000,9,0.313376,0.383390,0.696766,110317
500,200,100000000,10,0.315219,0.387564,0.702783,104815
500,200,1000000000,1,44.357662,26.459004,70.816666,3499563
