Nx,Ny,Particles,Threads,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,14000000,1,0.880599,1.551235,2.431834,0.0880598,0.1551235,0.24318330000000002,473652,47365.2
250,100,14000000,2,0.912631,0.801188,1.713818,0.0912631,0.0801188,0.1713818,472787,47278.7
250,100,14000000,4,0.887738,0.44218099999999994,1.329920,0.08877399999999999,0.044218099999999996,0.132992,472973,47297.3
250,100,14000000,8,0.919190,0.277718,1.196908,0.0919191,0.027771800000000003,0.11969099999999999,474923,47492.3
250,100,14000000,16,0.888341,0.229872,1.118213,0.0888342,0.0229872,0.1118214,474593,47459.3
500,200,14000000,1,1.330139,1.5456159999999999,2.875754,0.1330139,0.1545616,0.2875753,234902,23490.2
500,200,14000000,2,2.138944,0.8004,2.939345,0.21389439999999998,0.08004,0.2939347,233948,23394.8
500,200,14000000,4,1.329198,0.440936,1.770134,0.1329199,0.0440936,0.1770135,235068,23506.8
500,200,14000000,8,2.226795,0.277872,2.504669,0.2226795,0.0277872,0.2504669,235619,23561.9
500,200,14000000,16,1.754128,0.293439,2.047567,0.17541279999999998,0.0293439,0.20475659999999998,235516,23551.6
1000,400,14000000,1,1.391334,1.542243,2.933578,0.1391335,0.1542243,0.2933577,117632,11763.2
1000,400,14000000,2,2.310865,0.8028730000000001,3.113739,0.23108650000000003,0.0802873,0.3113739,116471,11647.1
1000,400,14000000,4,2.346787,0.444822,2.791608,0.2346786,0.0444822,0.2791607,116869,11686.9
1000,400,14000000,8,2.660299,0.277508,2.937806,0.2660297,0.0277508,0.2937805,116959,11695.9
1000,400,14000000,16,1.694253,0.290397,1.984651,0.1694254,0.0290397,0.1984652,118065,11806.5
