Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
250,100,14000000,1,1,0.088069,0.156138,0.000000,0.244207,97963
250,100,14000000,1,2,0.088456,0.155923,0.000000,0.244379,65936
250,100,14000000,1,3,0.088065,0.154960,0.000000,0.243025,53915
250,100,14000000,1,4,0.087965,0.154923,0.000000,0.242887,46542
250,100,14000000,1,5,0.087903,0.155045,0.000000,0.242949,41304
250,100,14000000,1,6,0.088272,0.154898,0.000000,0.243170,37996
250,100,14000000,1,7,0.087979,0.154645,0.000000,0.242624,35354
250,100,14000000,1,8,0.087877,0.154541,0.000000,0.242418,33339
250,100,14000000,1,9,0.087875,0.154998,0.000000,0.242873,31609
250,100,14000000,1,10,0.088137,0.155164,0.000000,0.243301,29694
250,100,14000000,2,1,0.088010,0.078782,0.000000,0.166792,97911
250,100,14000000,2,2,0.088125,0.079176,0.000000,0.167301,65921
250,100,14000000,2,3,0.088568,0.078025,0.000000,0.166592,53549
250,100,14000000,2,4,0.087969,0.079922,0.000000,0.167891,46528
250,100,14000000,2,5,0.093323,0.080766,0.000000,0.174089,41708
250,100,14000000,2,6,0.093312,0.081531,0.000000,0.174844,38364
250,100,14000000,2,7,0.093227,0.080534,0.000000,0.173760,35187
250,100,14000000,2,8,0.093423,0.081408,0.000000,0.174831,33118
250,100,14000000,2,9,0.093428,0.080454,0.000000,0.173882,31265
250,100,14000000,2,10,0.093246,0.080590,0.000000,0.173836,29236
250,100,14000000,4,1,0.088205,0.045214,0.000000,0.133419,97652
250,100,14000000,4,2,0.088777,0.044223,0.000000,0.133001,65681
250,100,14000000,4,3,0.088155,0.044533,0.000000,0.132688,53840
250,100,14000000,4,4,0.088162,0.043699,0.000000,0.131861,46673
250,100,14000000,4,5,0.088107,0.044320,0.000000,0.132427,41607
250,100,14000000,4,6,0.088178,0.043181,0.000000,0.131359,38192
250,100,14000000,4,7,0.088064,0.044655,0.000000,0.132719,35008
250,100,14000000,4,8,0.093502,0.044417,0.000000,0.137919,32616
250,100,14000000,4,9,0.088453,0.044534,0.000000,0.132986,31713
250,100,14000000,4,10,0.088137,0.043405,0.000000,0.131541,29991
250,100,14000000,8,1,0.088020,0.028119,0.000000,0.116139,98531
250,100,14000000,8,2,0.090434,0.028216,0.000000,0.118651,65580
250,100,14000000,8,3,0.091322,0.027809,0.000000,0.119131,53932
250,100,14000000,8,4,0.092909,0.027523,0.000000,0.120432,46617
250,100,14000000,8,5,0.088904,0.027667,0.000000,0.116571,41865
250,100,14000000,8,6,0.093629,0.027778,0.000000,0.121407,37980
250,100,14000000,8,7,0.093567,0.027697,0.000000,0.121264,35543
250,100,14000000,8,8,0.093623,0.027748,0.000000,0.121371,33320
250,100,14000000,8,9,0.093748,0.027534,0.000000,0.121282,31422
250,100,14000000,8,10,0.093035,0.027627,0.000000,0.120662,30133
250,100,14000000,16,1,0.088076,0.029312,0.000000,0.117388,97716
250,100,14000000,16,2,0.089066,0.032809,0.000000,0.121876,66030
250,100,14000000,16,3,0.089042,0.032929,0.000000,0.121970,53533
250,100,14000000,16,4,0.089093,0.019214,0.000000,0.108307,46454
250,100,14000000,16,5,0.089428,0.019275,0.000000,0.108703,41732
250,100,14000000,16,6,0.089216,0.019212,0.000000,0.108428,37979
250,100,14000000,16,7,0.088672,0.019293,0.000000,0.107965,35649
250,100,14000000,16,8,0.088613,0.019220,0.000000,0.107833,33529
250,100,14000000,16,9,0.088559,0.019373,0.000000,0.107932,31462
250,100,14000000,16,10,0.088577,0.019235,0.000000,0.107812,30509
500,200,14000000,1,1,0.132826,0.154855,0.000000,0.287682,48860
500,200,14000000,1,2,0.134298,0.154916,0.000000,0.289213,32629
500,200,14000000,1,3,0.133036,0.154659,0.000000,0.287695,27168
500,200,14000000,1,4,0.132801,0.154329,0.000000,0.287129,22793
500,200,14000000,1,5,0.132738,0.155351,0.000000,0.288089,20505
500,200,14000000,1,6,0.132937,0.154514,0.000000,0.287451,18946
500,200,14000000,1,7,0.132924,0.154212,0.000000,0.287136,17134
500,200,14000000,1,8,0.132779,0.154225,0.000000,0.287004,16627
500,200,14000000,1,9,0.132746,0.154385,0.000000,0.287131,15489
500,200,14000000,1,10,0.133054,0.154170,0.000000,0.287223,14751
