Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
500,200,14000000,2,1,0.133104,0.078818,0.000000,0.211922,48835
500,200,14000000,2,2,0.133097,0.080488,0.000000,0.213586,32588
500,200,14000000,2,3,0.289785,0.080586,0.000000,0.370372,26752
500,200,14000000,2,4,0.289782,0.080598,0.000000,0.370380,23081
500,200,14000000,2,5,0.290349,0.079859,0.000000,0.370208,20445
500,200,14000000,2,6,0.132805,0.077971,0.000000,0.210776,18782
500,200,14000000,2,7,0.132792,0.080560,0.000000,0.213353,17524
500,200,14000000,2,8,0.226593,0.080790,0.000000,0.307383,16216
500,200,14000000,2,9,0.220994,0.080410,0.000000,0.301404,15353
500,200,14000000,2,10,0.289643,0.080320,0.000000,0.369963,14372
500,200,14000000,4,1,0.132811,0.043529,0.000000,0.176340,48993
500,200,14000000,4,2,0.133002,0.043212,0.000000,0.176213,32929
500,200,14000000,4,3,0.133250,0.044447,0.000000,0.177697,26430
500,200,14000000,4,4,0.132821,0.043280,0.000000,0.176101,23149
500,200,14000000,4,5,0.133076,0.044447,0.000000,0.177523,20845
500,200,14000000,4,6,0.132880,0.044340,0.000000,0.177220,18755
500,200,14000000,4,7,0.132913,0.044419,0.000000,0.177333,17483
500,200,14000000,4,8,0.132807,0.044479,0.000000,0.177286,16352
500,200,14000000,4,9,0.132767,0.044403,0.000000,0.177170,15441
500,200,14000000,4,10,0.132872,0.044380,0.000000,0.177252,14691
500,200,14000000,8,1,0.132895,0.028159,0.000000,0.161055,49101
500,200,14000000,8,2,0.253459,0.027995,0.000000,0.281455,32947
500,200,14000000,8,3,0.262020,0.027689,0.000000,0.289709,26675
500,200,14000000,8,4,0.134209,0.027961,0.000000,0.162170,22996
500,200,14000000,8,5,0.289827,0.027525,0.000000,0.317352,20720
500,200,14000000,8,6,0.260640,0.027602,0.000000,0.288242,18813
500,200,14000000,8,7,0.290253,0.027498,0.000000,0.317751,17559
500,200,14000000,8,8,0.134254,0.027699,0.000000,0.161953,16553
500,200,14000000,8,9,0.289810,0.028056,0.000000,0.317866,15363
500,200,14000000,8,10,0.179428,0.027688,0.000000,0.207116,14892
500,200,14000000,16,1,0.133076,0.031417,0.000000,0.164493,48555
500,200,14000000,16,2,0.133453,0.029114,0.000000,0.162567,32846
500,200,14000000,16,3,0.133810,0.029034,0.000000,0.162844,26808
500,200,14000000,16,4,0.134452,0.029107,0.000000,0.163558,23240
500,200,14000000,16,5,0.133686,0.029115,0.000000,0.162800,20694
500,200,14000000,16,6,0.289708,0.028673,0.000000,0.318381,19103
500,200,14000000,16,7,0.133825,0.028883,0.000000,0.162709,17302
500,200,14000000,16,8,0.133981,0.029375,0.000000,0.163357,16107
500,200,14000000,16,9,0.238170,0.029015,0.000000,0.267184,15868
500,200,14000000,16,10,0.289967,0.029706,0.000000,0.319673,14993
1000,400,14000000,1,1,0.139108,0.154471,0.000000,0.293579,24505
1000,400,14000000,1,2,0.139141,0.154195,0.000000,0.293336,16349
1000,400,14000000,1,3,0.138939,0.154203,0.000000,0.293142,13490
1000,400,14000000,1,4,0.139091,0.154159,0.000000,0.293250,11619
1000,400,14000000,1,5,0.139187,0.154128,0.000000,0.293314,10189
1000,400,14000000,1,6,0.139017,0.154063,0.000000,0.293080,9440
1000,400,14000000,1,7,0.139106,0.154149,0.000000,0.293255,8818
1000,400,14000000,1,8,0.138994,0.154502,0.000000,0.293496,8167
1000,400,14000000,1,9,0.138998,0.154064,0.000000,0.293062,7708
1000,400,14000000,1,10,0.139754,0.154309,0.000000,0.294063,7347
1000,400,14000000,2,1,0.139071,0.077871,0.000000,0.216943,24548
1000,400,14000000,2,2,0.138896,0.080512,0.000000,0.219408,16362
1000,400,14000000,2,3,0.196383,0.080622,0.000000,0.277006,13325
1000,400,14000000,2,4,0.224470,0.080792,0.000000,0.305262,11471
1000,400,14000000,2,5,0.296080,0.080462,0.000000,0.376541,10093
1000,400,14000000,2,6,0.244677,0.080734,0.000000,0.325411,9351
1000,400,14000000,2,7,0.296278,0.080419,0.000000,0.376697,8652
1000,400,14000000,2,8,0.296024,0.080296,0.000000,0.376320,8201
1000,400,14000000,2,9,0.296388,0.080565,0.000000,0.376953,7416
1000,400,14000000,2,10,0.182598,0.080600,0.000000,0.263198,7052
1000,400,14000000,4,1,0.139123,0.044750,0.000000,0.183873,24426
1000,400,14000000,4,2,0.296263,0.044419,0.000000,0.340682,16258
1000,400,14000000,4,3,0.296306,0.044374,0.000000,0.340680,13302
1000,400,14000000,4,4,0.296674,0.044528,0.000000,0.341202,11660
1000,400,14000000,4,5,0.296387,0.044441,0.000000,0.340828,10185
1000,400,14000000,4,6,0.296195,0.044351,0.000000,0.340547,9305
1000,400,14000000,4,7,0.151249,0.044443,0.000000,0.195692,8622
1000,400,14000000,4,8,0.139201,0.044622,0.000000,0.183823,8249
1000,400,14000000,4,9,0.139098,0.044479,0.000000,0.183576,7491
1000,400,14000000,4,10,0.296290,0.044415,0.000000,0.340704,7371
1000,400,14000000,8,1,0.139209,0.027914,0.000000,0.167122,24476
1000,400,14000000,8,2,0.296344,0.029365,0.000000,0.325709,16318
1000,400,14000000,8,3,0.296380,0.027591,0.000000,0.323971,13129
1000,400,14000000,8,4,0.229818,0.027500,0.000000,0.257318,11464
1000,400,14000000,8,5,0.296388,0.027457,0.000000,0.323845,10338
1000,400,14000000,8,6,0.215869,0.027571,0.000000,0.243440,9308
1000,400,14000000,8,7,0.296477,0.027506,0.000000,0.323983,8816
1000,400,14000000,8,8,0.296523,0.027445,0.000000,0.323969,8105
1000,400,14000000,8,9,0.296665,0.027539,0.000000,0.324204,7646
1000,400,14000000,8,10,0.296624,0.027620,0.000000,0.324244,7359
1000,400,14000000,16,1,0.138946,0.029241,0.000000,0.168188,24673
1000,400,14000000,16,2,0.140288,0.028963,0.000000,0.169251,16285
1000,400,14000000,16,3,0.218998,0.028761,0.000000,0.247759,13303
1000,400,14000000,16,4,0.139947,0.029137,0.000000,0.169084,11673
1000,400,14000000,16,5,0.139927,0.029101,0.000000,0.169028,10428
1000,400,14000000,16,6,0.140078,0.029110,0.000000,0.169188,9467
1000,400,14000000,16,7,0.199077,0.029084,0.000000,0.228161,8681
1000,400,14000000,16,8,0.140397,0.028846,0.000000,0.169243,8062
1000,400,14000000,16,9,0.296491,0.029164,0.000000,0.325655,7759
1000,400,14000000,16,10,0.140105,0.028990,0.000000,0.169095,7734
