Nx,Ny,Particles,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,100,0.000169,0.000008,0.000176,1.68e-05,1e-06,1.78e-05,6,0.60
250,100,10000,0.001367,0.000695,0.002063,0.00013680000000000002,6.96e-05,0.00020639999999999998,366,36.60
250,100,1000000,0.121527,0.067676,0.189204,0.0121526,0.0067676,0.0189205,33836,3383.60
250,100,100000000,7.324077,5.399143,12.723220,0.7324075999999999,0.5399143000000001,1.2723219000000001,3376001,337600.10
250,100,1000000000,77.424072,57.100069,134.524141,7.7424072,5.710007,13.452414,33761132,3376113.20
500,200,100,0.000585,0.000006,0.000591,5.8399999999999997e-05,1e-06,5.9199999999999996e-05,6,0.60
500,200,10000,0.001754,0.000568,0.002322,0.00017559999999999999,5.6800000000000005e-05,0.0002323,193,19.30
500,200,1000000,0.279895,0.059423,0.339317,0.0279895,0.0059422,0.033931699999999995,16909,1690.90
500,200,100000000,11.295186,5.528353,16.823539,1.1295187,0.5528353,1.6823540000000001,1673304,167330.40
500,200,1000000000,112.911722,55.224606,168.136328,11.2911722,5.5224606,16.8136327,16756954,1675695.40
1000,400,100,0.003233,0.000006,0.003239,0.0003233,1e-06,0.0003239,2,0.20
1000,400,10000,0.005497,0.000565,0.006061,0.0005497,5.6399999999999995e-05,0.0006061,102,10.20
1000,400,1000000,0.125940,0.054982,0.180922,0.012594,0.0054981000000000006,0.0180922,8550,855.00
1000,400,100000000,11.512138,5.543327,17.055464,1.1512137,0.5543327,1.7055464999999999,833816,83381.60
1000,400,1000000000,114.485865,55.057524,169.543389,11.4485864,5.5057523,16.9543388,8348384,834838.40
