Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
1000,400,14000000,1,1,0.139419,0.154139,0.000353,0.293911,24521
1000,400,14000000,1,2,0.137974,0.154040,0.000237,0.292252,16492
1000,400,14000000,1,3,0.138054,0.154190,0.000193,0.292437,13397
1000,400,14000000,1,4,0.138188,0.154062,0.000163,0.292414,11353
1000,400,14000000,1,5,0.137961,0.153942,0.000147,0.292050,10231
1000,400,14000000,1,6,0.137992,0.153936,0.000135,0.292063,9392
1000,400,14000000,1,7,0.138048,0.154340,0.000124,0.292512,8606
1000,400,14000000,1,8,0.138024,0.153945,0.000118,0.292088,8194
1000,400,14000000,1,9,0.138001,0.153942,0.000108,0.292051,7512
1000,400,14000000,1,10,0.137953,0.154004,0.000106,0.292063,7353
1000,400,14000000,2,1,0.140478,0.077798,0.027160,0.245437,24578
1000,400,14000000,2,2,0.139402,0.079333,0.029807,0.248542,16373
1000,400,14000000,2,3,0.298082,0.079959,0.029519,0.407560,13360
1000,400,14000000,2,4,0.142995,0.079444,0.029321,0.251761,11326
1000,400,14000000,2,5,0.240836,0.078758,0.026164,0.345758,10312
1000,400,14000000,2,6,0.139988,0.078340,0.025740,0.244068,9438
1000,400,14000000,2,7,0.139231,0.079897,0.028977,0.248105,8566
1000,400,14000000,2,8,0.267137,0.079324,0.028912,0.375373,7982
1000,400,14000000,2,9,0.161154,0.078082,0.025394,0.264630,7593
1000,400,14000000,2,10,0.139363,0.080117,0.028943,0.248422,7153
1000,400,14000000,4,1,0.139527,0.044328,0.027346,0.211201,24523
1000,400,14000000,4,2,0.139384,0.044266,0.026731,0.210381,16492
1000,400,14000000,4,3,0.139314,0.044321,0.026388,0.210023,13304
1000,400,14000000,4,4,0.139513,0.044196,0.026232,0.209941,11524
1000,400,14000000,4,5,0.139535,0.044138,0.026075,0.209747,10361
1000,400,14000000,4,6,0.139855,0.044109,0.025893,0.209858,9390
1000,400,14000000,4,7,0.139288,0.043180,0.025684,0.208152,8667
1000,400,14000000,4,8,0.139382,0.043895,0.025742,0.209019,8044
1000,400,14000000,4,9,0.139259,0.043787,0.025613,0.208659,7675
1000,400,14000000,4,10,0.139400,0.043336,0.026304,0.209040,7223
1000,400,14000000,8,1,0.139167,0.030418,0.030181,0.199766,24334
1000,400,14000000,8,2,0.298177,0.028051,0.029774,0.356002,16412
1000,400,14000000,8,3,0.223791,0.027943,0.029590,0.281324,13486
1000,400,14000000,8,4,0.297930,0.027971,0.029398,0.355299,11514
1000,400,14000000,8,5,0.212176,0.027718,0.029300,0.269194,10196
1000,400,14000000,8,6,0.227058,0.027748,0.029278,0.284084,9368
1000,400,14000000,8,7,0.297943,0.027598,0.029054,0.354595,8553
1000,400,14000000,8,8,0.271785,0.027922,0.029128,0.328835,8028
1000,400,14000000,8,9,0.155349,0.028019,0.026310,0.209677,7631
1000,400,14000000,8,10,0.139313,0.027965,0.025980,0.193258,7324
1000,400,14000000,16,1,0.139444,0.029217,0.027779,0.196440,24594
1000,400,14000000,16,2,0.140088,0.029316,0.027517,0.196921,16456
1000,400,14000000,16,3,0.140921,0.031185,0.031638,0.203744,13409
1000,400,14000000,16,4,0.142477,0.029120,0.029624,0.201221,11591
1000,400,14000000,16,5,0.207104,0.028720,0.029505,0.265330,10328
1000,400,14000000,16,6,0.297051,0.030368,0.026492,0.353911,9223
1000,400,14000000,16,7,0.139931,0.029083,0.029367,0.198381,8971
1000,400,14000000,16,8,0.296269,0.028833,0.026307,0.351409,8087
1000,400,14000000,16,9,0.139884,0.028580,0.029604,0.198068,7591
1000,400,14000000,16,10,0.190905,0.028231,0.026396,0.245532,7290
