Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
250,100,14000000,1,1,0.063000,0.060000,0.000000,0.123000,98341
250,100,14000000,1,2,0.063000,0.063000,0.000000,0.126000,66350
250,100,14000000,1,3,0.062000,0.060000,0.000000,0.122000,53860
250,100,14000000,1,4,0.065000,0.062000,0.000000,0.127000,46726
250,100,14000000,1,5,0.063000,0.061000,0.001000,0.125000,41702
250,100,14000000,1,6,0.068000,0.062000,0.000000,0.130000,38006
250,100,14000000,1,7,0.063000,0.066000,0.000000,0.129000,35367
250,100,14000000,1,8,0.062000,0.061000,0.000000,0.123000,32950
250,100,14000000,1,9,0.066000,0.062000,0.000000,0.128000,31241
250,100,14000000,1,10,0.063000,0.062000,0.000000,0.125000,29920
250,100,14000000,2,1,0.067000,0.036000,0.035000,0.138000,97232
250,100,14000000,2,2,0.067000,0.035000,0.030000,0.132000,64919
250,100,14000000,2,3,0.064000,0.035000,0.031000,0.130000,53633
250,100,14000000,2,4,0.063000,0.035000,0.032000,0.130000,46150
250,100,14000000,2,5,0.063000,0.035000,0.029000,0.127000,40906
250,100,14000000,2,6,0.064000,0.036000,0.033000,0.133000,37668
250,100,14000000,2,7,0.068000,0.032000,0.034000,0.134000,35147
250,100,14000000,2,8,0.066000,0.032000,0.033000,0.131000,32646
250,100,14000000,2,9,0.064000,0.035000,0.032000,0.131000,31002
250,100,14000000,2,10,0.063000,0.036000,0.030000,0.129000,29697
250,100,14000000,4,1,0.066000,0.034000,0.035000,0.135000,98249
250,100,14000000,4,2,0.064000,0.028000,0.036000,0.128000,64948
250,100,14000000,4,3,0.063000,0.028000,0.041000,0.132000,53547
250,100,14000000,4,4,0.064000,0.032000,0.035000,0.131000,46160
250,100,14000000,4,5,0.063000,0.034000,0.033000,0.130000,42105
250,100,14000000,4,6,0.063000,0.032000,0.033000,0.128000,38280
250,100,14000000,4,7,0.065000,0.036000,0.033000,0.134000,35588
250,100,14000000,4,8,0.064000,0.037000,0.036000,0.137000,33270
250,100,14000000,4,9,0.063000,0.031000,0.038000,0.132000,31659
