Nx,Ny,Particles,Threads,Iteration,Interp(s),MoverOnly(s),Update(s),Total(s),Deleted
250,100,14000000,4,10,0.062000,0.032000,0.035000,0.129000,30046
250,100,14000000,8,1,0.069000,0.038000,0.039000,0.146000,98234
250,100,14000000,8,2,0.063000,0.037000,0.033000,0.133000,65511
250,100,14000000,8,3,0.062000,0.037000,0.033000,0.132000,53204
250,100,14000000,8,4,0.065000,0.035000,0.037000,0.137000,46337
250,100,14000000,8,5,0.063000,0.037000,0.037000,0.137000,41443
250,100,14000000,8,6,0.062000,0.037000,0.035000,0.134000,37972
250,100,14000000,8,7,0.066000,0.034000,0.037000,0.137000,34662
250,100,14000000,8,8,0.063000,0.034000,0.036000,0.133000,32737
250,100,14000000,8,9,0.062000,0.035000,0.035000,0.132000,30734
250,100,14000000,8,10,0.062000,0.036000,0.034000,0.132000,29171
250,100,14000000,16,1,0.069000,0.040000,0.042000,0.151000,98076
250,100,14000000,16,2,0.063000,0.041000,0.043000,0.147000,65310
250,100,14000000,16,3,0.065000,0.039000,0.040000,0.144000,53588
250,100,14000000,16,4,0.066000,0.040000,0.038000,0.144000,46254
250,100,14000000,16,5,0.069000,0.038000,0.036000,0.143000,41425
250,100,14000000,16,6,0.067000,0.045000,0.038000,0.150000,37893
250,100,14000000,16,7,0.064000,0.041000,0.037000,0.142000,35289
250,100,14000000,16,8,0.064000,0.041000,0.040000,0.145000,33078
250,100,14000000,16,9,0.064000,0.040000,0.043000,0.147000,31346
250,100,14000000,16,10,0.064000,0.040000,0.040000,0.144000,30089
500,200,14000000,1,1,0.083000,0.062000,0.000000,0.145000,49471
500,200,14000000,1,2,0.083000,0.060000,0.000000,0.143000,33059
500,200,14000000,1,3,0.082000,0.060000,0.000000,0.142000,26747
500,200,14000000,1,4,0.082000,0.061000,0.000000,0.143000,23094
500,200,14000000,1,5,0.081000,0.061000,0.000000,0.142000,20383
500,200,14000000,1,6,0.082000,0.061000,0.000000,0.143000,18955
500,200,14000000,1,7,0.085000,0.059000,0.000000,0.144000,17357
500,200,14000000,1,8,0.083000,0.059000,0.000000,0.142000,16344
500,200,14000000,1,9,0.082000,0.060000,0.000000,0.142000,15326
500,200,14000000,1,10,0.081000,0.060000,0.000000,0.141000,14617
500,200,14000000,2,1,0.082000,0.038000,0.039000,0.159000,49595
500,200,14000000,2,2,0.121000,0.034000,0.036000,0.191000,33185
500,200,14000000,2,3,0.121000,0.033000,0.037000,0.191000,26654
500,200,14000000,2,4,0.093000,0.038000,0.042000,0.173000,23022
500,200,14000000,2,5,0.098000,0.036000,0.036000,0.170000,20457
500,200,14000000,2,6,0.121000,0.071000,0.058000,0.250000,18988
500,200,14000000,2,7,0.129000,0.042000,0.028000,0.199000,17364
500,200,14000000,2,8,0.087000,0.052000,0.032000,0.171000,16139
500,200,14000000,2,9,0.089000,0.038000,0.029000,0.156000,15009
500,200,14000000,2,10,0.087000,0.053000,0.031000,0.171000,14431
500,200,14000000,4,1,0.106000,0.038000,0.053000,0.197000,49426
500,200,14000000,4,2,0.125000,0.056000,0.054000,0.235000,33383
500,200,14000000,4,3,0.126000,0.056000,0.070000,0.252000,26999
500,200,14000000,4,4,0.122000,0.051000,0.055000,0.228000,23442
500,200,14000000,4,5,0.097000,0.036000,0.034000,0.167000,20741
500,200,14000000,4,6,0.102000,0.036000,0.037000,0.175000,18996
500,200,14000000,4,7,0.086000,0.034000,0.031000,0.151000,17381
500,200,14000000,4,8,0.086000,0.036000,0.028000,0.150000,16233
500,200,14000000,4,9,0.082000,0.029000,0.033000,0.144000,15469
500,200,14000000,4,10,0.087000,0.030000,0.032000,0.149000,14476
500,200,14000000,8,1,0.094000,0.038000,0.030000,0.162000,49305
500,200,14000000,8,2,0.085000,0.030000,0.034000,0.149000,32760
500,200,14000000,8,3,0.085000,0.031000,0.035000,0.151000,26959
500,200,14000000,8,4,0.087000,0.035000,0.029000,0.151000,22876
500,200,14000000,8,5,0.083000,0.030000,0.034000,0.147000,20669
500,200,14000000,8,6,0.085000,0.032000,0.032000,0.149000,18964
500,200,14000000,8,7,0.088000,0.033000,0.030000,0.151000,17500
500,200,14000000,8,8,0.092000,0.031000,0.032000,0.155000,16336
500,200,14000000,8,9,0.082000,0.033000,0.030000,0.145000,15402
500,200,14000000,8,10,0.083000,0.031000,0.030000,0.144000,14692
500,200,14000000,16,1,0.085000,0.034000,0.033000,0.152000,49409
500,200,14000000,16,2,0.088000,0.034000,0.034000,0.156000,32919
500,200,14000000,16,3,0.094000,0.034000,0.032000,0.160000,26825
500,200,14000000,16,4,0.087000,0.033000,0.034000,0.154000,22803
500,200,14000000,16,5,0.089000,0.036000,0.033000,0.158000,20790
500,200,14000000,16,6,0.086000,0.034000,0.036000,0.156000,18701
500,200,14000000,16,7,0.085000,0.034000,0.038000,0.157000,17332
500,200,14000000,16,8,0.088000,0.034000,0.033000,0.155000,16368
500,200,14000000,16,9,0.087000,0.036000,0.043000,0.166000,15495
500,200,14000000,16,10,0.093000,0.033000,0.033000,0.159000,14658
1000,400,14000000,1,1,0.096000,0.068000,0.000000,0.164000,24714
1000,400,14000000,1,2,0.095000,0.064000,0.000000,0.159000,16622
1000,400,14000000,1,3,0.091000,0.062000,0.000000,0.153000,13302
1000,400,14000000,1,4,0.091000,0.065000,0.000000,0.156000,11481
1000,400,14000000,1,5,0.093000,0.068000,0.000000,0.161000,10337
1000,400,14000000,1,6,0.090000,0.063000,0.000000,0.153000,9427
1000,400,14000000,1,7,0.090000,0.061000,0.000000,0.151000,8497
1000,400,14000000,1,8,0.103000,0.075000,0.000000,0.178000,8100
1000,400,14000000,1,9,0.156000,0.100000,0.000000,0.256000,7749
1000,400,14000000,1,10,0.157000,0.096000,0.000000,0.253000,7282
1000,400,14000000,2,1,0.152000,0.036000,0.039000,0.227000,25071
1000,400,14000000,2,2,0.087000,0.037000,0.028000,0.152000,16639
1000,400,14000000,2,3,0.093000,0.048000,0.029000,0.170000,13367
1000,400,14000000,2,4,0.087000,0.054000,0.035000,0.176000,11426
1000,400,14000000,2,5,0.108000,0.051000,0.037000,0.196000,10189
1000,400,14000000,2,6,0.164000,0.061000,0.074000,0.299000,9220
1000,400,14000000,2,7,0.354000,0.048000,0.033000,0.435000,8603
1000,400,14000000,2,8,0.091000,0.056000,0.029000,0.176000,7988
1000,400,14000000,2,9,0.087000,0.034000,0.029000,0.150000,7734
1000,400,14000000,2,10,0.091000,0.039000,0.030000,0.160000,7264
1000,400,14000000,4,1,0.088000,0.035000,0.030000,0.153000,24734
1000,400,14000000,4,2,0.093000,0.031000,0.035000,0.159000,16569
1000,400,14000000,4,3,0.087000,0.035000,0.029000,0.151000,13526
1000,400,14000000,4,4,0.091000,0.033000,0.031000,0.155000,11371
1000,400,14000000,4,5,0.104000,0.036000,0.035000,0.175000,10165
1000,400,14000000,4,6,0.106000,0.029000,0.034000,0.169000,9310
1000,400,14000000,4,7,0.089000,0.035000,0.034000,0.158000,8455
1000,400,14000000,4,8,0.091000,0.029000,0.034000,0.154000,8024
1000,400,14000000,4,9,0.091000,0.035000,0.030000,0.156000,7468
1000,400,14000000,4,10,0.092000,0.032000,0.031000,0.155000,7024
1000,400,14000000,8,1,0.096000,0.032000,0.035000,0.163000,24699
1000,400,14000000,8,2,0.093000,0.032000,0.033000,0.158000,16401
1000,400,14000000,8,3,0.093000,0.032000,0.032000,0.157000,13563
1000,400,14000000,8,4,0.096000,0.032000,0.034000,0.162000,11576
1000,400,14000000,8,5,0.096000,0.036000,0.039000,0.171000,10441
1000,400,14000000,8,6,0.094000,0.031000,0.033000,0.158000,9566
1000,400,14000000,8,7,0.089000,0.034000,0.032000,0.155000,8538
1000,400,14000000,8,8,0.090000,0.034000,0.030000,0.154000,8269
1000,400,14000000,8,9,0.091000,0.031000,0.033000,0.155000,7861
1000,400,14000000,8,10,0.090000,0.036000,0.030000,0.156000,7217
1000,400,14000000,16,1,0.095000,0.035000,0.033000,0.163000,24704
1000,400,14000000,16,2,0.088000,0.035000,0.030000,0.153000,16888
1000,400,14000000,16,3,0.092000,0.033000,0.033000,0.158000,13464
1000,400,14000000,16,4,0.089000,0.034000,0.035000,0.158000,11605
1000,400,14000000,16,5,0.092000,0.038000,0.035000,0.165000,10383
1000,400,14000000,16,6,0.094000,0.032000,0.032000,0.158000,9389
1000,400,14000000,16,7,0.088000,0.034000,0.036000,0.158000,8633
1000,400,14000000,16,8,0.090000,0.034000,0.032000,0.156000,8154
1000,400,14000000,16,9,0.094000,0.033000,0.032000,0.159000,7557
1000,400,14000000,16,10,0.089000,0.033000,0.033000,0.155000,7424
