Nx,Ny,Particles,Threads,Total_Interp(s),Total_Mover(s),Total_Execution(s),Avg_Interp(s),Avg_Mover(s),Avg_Total(s),Total_Deleted,Avg_Deleted
250,100,14000000,1,0.638000,0.62,1.258000,0.0638,0.062,0.1258,474463,47446.3
250,100,14000000,2,0.649000,0.666,1.315000,0.0649,0.0666,0.1315,469000,46900.0
250,100,14000000,4,0.637000,0.679,1.316000,0.0637,0.0679,0.1316,473852,47385.2
250,100,14000000,8,0.637000,0.7160000000000001,1.353000,0.0637,0.07160000000000001,0.1353,470005,47000.5
250,100,14000000,16,0.654999,0.8019999999999999,1.457000,0.0655,0.0802,0.1457,472348,47234.8
500,200,14000000,1,0.824000,0.603,1.427000,0.0824,0.0603,0.1427,235353,23535.3
500,200,14000000,2,1.028000,0.8030000000000002,1.831000,0.1028,0.08030000000000001,0.18309999999999998,234844,23484.4
500,200,14000000,4,1.019000,0.829,1.848000,0.10189999999999999,0.0829,0.1848,236546,23654.6
500,200,14000000,8,0.864000,0.64,1.504000,0.0864,0.064,0.1504,235463,23546.3
500,200,14000000,16,0.882000,0.6910000000000001,1.573000,0.0882,0.06910000000000001,0.1573,235300,23530.0
1000,400,14000000,1,1.062000,0.722,1.784000,0.1062,0.0722,0.1784,117511,11751.1
1000,400,14000000,2,1.314000,0.827,2.141000,0.13140000000000002,0.0827,0.2141,117501,11750.1
1000,400,14000000,4,0.932000,0.653,1.585000,0.09319999999999999,0.0653,0.1585,116646,11664.6
1000,400,14000000,8,0.927999,0.661,1.589000,0.0928,0.0661,0.15889999999999999,118131,11813.1
1000,400,14000000,16,0.911000,0.6720000000000002,1.583000,0.0911,0.06720000000000001,0.1583,118201,11820.1
