ProblemSize,AvgE2ETime,AvgAlgoTime
2,1.000000000,0.000004427
4,0.000005774,0.000003371
8,0.000008233,0.000003810
16,0.000016658,0.000006296
32,0.000055682,0.000025266
64,0.000279309,0.000171756
128,0.001766527,0.001344918
256,0.012379796,0.010690735
512,0.091712583,0.084953456
1024,0.723343910,0.692621137
2048,5.679252721,5.554194023
4096,45.198002293,44.710599285
