ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000002019,0.000004393
4,0.000002078,0.000004813
8,0.000002346,0.000007613
16,0.000005146,0.000016981
32,0.000030038,0.000064306
64,0.000240929,0.000361597
128,0.002197504,0.002697465
256,0.019063230,0.021217618
512,0.177101827,0.185925549
1024,2.339582854,2.374524257
2048,113.959805188,114.095842652
4096,1025.602702690,1026.090563066
