ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001622,0.000003543
4,0.000004127,0.000001685
8,0.000006593,0.000002095
16,0.000014835,0.000004245
32,0.000097925,0.000039175
64,0.000288954,0.000177057
128,0.001947542,0.001521591
256,0.012652026,0.010988127
512,0.086807197,0.080176273
1024,0.664231124,0.633864185
2048,7.502344438,7.350236300
4096,59.128233800,58.636382558
