ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000003083,0.000005637
4,0.000006744,0.000003350
8,0.000009534,0.000002803
16,0.000016607,0.000006198
32,0.000121670,0.000063992
64,0.000484730,0.000349097
128,0.003157489,0.002737153
256,0.030884117,0.029230799
512,1.131718735,1.125071913
1024,18.449448709,18.413275656
2048,213.015096694,213.137524619
4096,1928.744699357,1929.224993719
