ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000003914,0.000005772
4,0.000007567,0.000004712
8,0.000007842,0.000003750
16,0.000027442,0.000013899
32,0.000086819,0.000045980
64,0.000413538,0.000276310
128,0.002248665,0.001819423
256,0.016916776,0.015193778
512,0.130434480,0.123592698
1024,1.094220229,1.055305476
2048,8.999016593,8.852923749
4096,69.835856261,69.333593407
