ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000003102,0.000005568
4,0.000004822,0.000002414
8,0.000007215,0.000002776
16,0.000015596,0.000004988
32,0.000051387,0.000021207
64,0.000267582,0.000160869
128,0.001796435,0.001373686
256,0.013161671,0.011498706
512,0.092275468,0.085593571
1024,0.709126023,0.678237860
2048,8.308950889,8.431778435
4096,65.161484894,65.642761640
