ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000002973,0.000005490
4,0.000004712,0.000002320
8,0.000006980,0.000002595
16,0.000015592,0.000005162
32,0.000057006,0.000026109
64,0.000343388,0.000235196
128,0.003517343,0.002900609
256,0.020988872,0.019004217
512,0.156849796,0.150223814
1024,1.533325269,1.503047056
2048,105.436653804,105.558462840
4096,1310.656852870,1311.137773743
