Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.068287,0.000116,0.039746,0.000058,0.108206
1,0.063396,0.000118,0.040823,0.000055,0.104393
2,0.058025,0.000122,0.039568,0.000056,0.097771
3,0.057001,0.000121,0.039682,0.000055,0.096859
4,0.059926,0.000117,0.039688,0.000055,0.099786
5,0.058349,0.000117,0.039616,0.000055,0.098138
6,0.064871,0.000119,0.039740,0.000055,0.104784
7,0.065982,0.000125,0.040019,0.000055,0.106181
8,0.066194,0.000115,0.039492,0.000055,0.105856
9,0.064729,0.000126,0.039916,0.000058,0.104828
