Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.006299,0.000019,0.011831,0.000007,0.018156
1,0.006327,0.000018,0.011905,0.000005,0.018256
2,0.006240,0.000008,0.011778,0.000005,0.018032
3,0.006213,0.000008,0.011603,0.000005,0.017829
4,0.006235,0.000007,0.011528,0.000005,0.017776
5,0.006250,0.000007,0.011520,0.000005,0.017782
6,0.006252,0.000007,0.011471,0.000005,0.017735
7,0.006276,0.000007,0.011711,0.000004,0.017998
8,0.006187,0.000019,0.011521,0.000004,0.017731
9,0.006161,0.000007,0.011591,0.000005,0.017764
