Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.011881,0.000014,0.015930,0.000005,0.027830
1,0.010266,0.000014,0.014094,0.000004,0.024379
2,0.010072,0.000014,0.014047,0.000004,0.024137
3,0.010125,0.000014,0.013885,0.000004,0.024028
4,0.010082,0.000014,0.013985,0.000004,0.024085
5,0.010090,0.000014,0.013948,0.000004,0.024056
6,0.010135,0.000014,0.013929,0.000004,0.024083
7,0.010031,0.000014,0.013931,0.000004,0.023980
8,0.010171,0.000015,0.014156,0.000004,0.024346
9,0.010390,0.000015,0.014281,0.000004,0.024690
