Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.041693,0.000055,0.058375,0.000017,0.100141
1,0.041064,0.000054,0.058658,0.000019,0.099795
2,0.040765,0.000054,0.058562,0.000018,0.099399
3,0.041360,0.000055,0.058694,0.000018,0.100127
4,0.040797,0.000054,0.058520,0.000017,0.099389
5,0.040771,0.000054,0.058439,0.000018,0.099282
6,0.041011,0.000054,0.058750,0.000018,0.099833
7,0.040747,0.000054,0.060206,0.000020,0.101027
8,0.041231,0.000054,0.058844,0.000018,0.100147
9,0.041791,0.000055,0.058520,0.000018,0.100385
