Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.015269,0.000471,0.009160,0.000087,0.024986
1,0.010904,0.000483,0.009749,0.000121,0.021256
2,0.011282,0.000387,0.009106,0.000107,0.020881
3,0.010469,0.000240,0.009121,0.000167,0.019997
4,0.010342,0.000327,0.009364,0.000087,0.020119
5,0.010366,0.000257,0.009279,0.000240,0.020142
6,0.009938,0.000337,0.009486,0.000280,0.020040
7,0.010123,0.000344,0.009045,0.000255,0.019768
8,0.010112,0.000342,0.009436,0.000087,0.019979
9,0.010066,0.000350,0.009157,0.000092,0.019665
