Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.001672,0.000007,0.001761,0.000006,0.003445
1,0.001153,0.000007,0.001435,0.000004,0.002599
2,0.001108,0.000007,0.001237,0.000004,0.002355
3,0.000999,0.000007,0.001210,0.000004,0.002220
4,0.000993,0.000007,0.001211,0.000004,0.002215
5,0.000991,0.000007,0.001205,0.000004,0.002207
6,0.000994,0.000007,0.001208,0.000004,0.002213
7,0.001000,0.000007,0.001206,0.000004,0.002217
8,0.000997,0.000007,0.001207,0.000004,0.002216
9,0.000994,0.000007,0.001205,0.000004,0.002210
