Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.028014,0.000422,0.009386,0.000149,0.037972
1,0.019823,0.000527,0.009260,0.000245,0.029856
2,0.019206,0.000555,0.009607,0.000210,0.029578
3,0.019316,0.000426,0.009314,0.000140,0.029197
4,0.019263,0.000459,0.009489,0.000254,0.029465
5,0.020117,0.000284,0.009202,0.000155,0.029759
6,0.019057,0.000341,0.009550,0.000149,0.029098
7,0.019050,0.000344,0.009244,0.000169,0.028807
8,0.019549,0.000302,0.009358,0.000117,0.029326
9,0.019278,0.000540,0.009761,0.000221,0.029800
