Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.002695,0.000271,0.001840,0.000131,0.004937
1,0.001278,0.000113,0.001848,0.000067,0.003307
2,0.001200,0.000057,0.001080,0.000028,0.002365
3,0.001191,0.000050,0.001299,0.000047,0.002587
4,0.000963,0.000062,0.001025,0.000028,0.002079
5,0.001174,0.000078,0.001242,0.000061,0.002555
6,0.001226,0.000051,0.001241,0.000031,0.002549
7,0.001185,0.000056,0.001032,0.000035,0.002308
8,0.001135,0.000052,0.001019,0.000049,0.002255
9,0.001396,0.000076,0.001359,0.000032,0.002863
