Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.011719,0.000276,0.012338,0.000158,0.024491
1,0.007991,0.000362,0.012328,0.000182,0.020863
2,0.008482,0.000496,0.012369,0.000174,0.021521
3,0.008393,0.000448,0.012484,0.000130,0.021455
4,0.008077,0.000253,0.012294,0.000195,0.020818
5,0.008364,0.000343,0.012768,0.000310,0.021785
6,0.008548,0.000430,0.012207,0.000161,0.021346
7,0.007880,0.000273,0.012370,0.000166,0.020689
8,0.009151,0.000487,0.012629,0.000286,0.022554
9,0.008653,0.000337,0.012433,0.000129,0.021551
