Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.035944,0.000513,0.051311,0.000047,0.087815
1,0.036257,0.000423,0.051134,0.000274,0.088089
2,0.034742,0.000162,0.051358,0.000176,0.086438
3,0.035953,0.000373,0.052211,0.000189,0.088727
4,0.032307,0.000273,0.052229,0.000088,0.084897
5,0.034386,0.000314,0.052754,0.000196,0.087650
6,0.032455,0.000422,0.051364,0.000186,0.084426
7,0.034225,0.000416,0.051568,0.000199,0.086408
8,0.033000,0.000157,0.051269,0.000244,0.084672
9,0.035211,0.000339,0.051230,0.000227,0.087007
