Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.007075,0.000010,0.011696,0.000004,0.018785
1,0.006001,0.000009,0.011555,0.000004,0.017569
2,0.005980,0.000009,0.011755,0.000004,0.017748
3,0.005984,0.000009,0.011496,0.000004,0.017492
4,0.005932,0.000009,0.011468,0.000005,0.017414
5,0.005940,0.000009,0.011369,0.000005,0.017322
6,0.005922,0.000011,0.011413,0.000004,0.017350
7,0.005972,0.000009,0.011203,0.000004,0.017189
8,0.005959,0.000009,0.011253,0.000004,0.017225
9,0.006276,0.000009,0.011137,0.000004,0.017427
