Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.026252,0.000031,0.047819,0.000013,0.074115
1,0.022876,0.000029,0.047103,0.000013,0.070021
2,0.022636,0.000029,0.047106,0.000013,0.069785
3,0.022517,0.000030,0.047300,0.000013,0.069860
4,0.022650,0.000030,0.047179,0.000014,0.069873
5,0.022561,0.000029,0.047016,0.000013,0.069620
6,0.022735,0.000030,0.046887,0.000013,0.069664
7,0.022629,0.000030,0.047295,0.000012,0.069966
8,0.022748,0.000029,0.048953,0.000014,0.071745
9,0.023798,0.000029,0.047240,0.000012,0.071080
