Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.323610,0.000524,0.038423,0.000308,0.362864
1,0.304630,0.000655,0.038641,0.000155,0.344081
2,0.290310,0.000718,0.038470,0.000211,0.329710
3,0.341723,0.000792,0.038448,0.000273,0.381236
4,0.303443,0.000573,0.038477,0.000199,0.342692
5,0.333008,0.000649,0.038330,0.000182,0.372168
6,0.335291,0.000411,0.038401,0.000234,0.374337
7,0.320722,0.000700,0.038533,0.000141,0.360096
8,0.323339,0.000695,0.038362,0.000223,0.362619
9,0.303295,0.000569,0.038676,0.000318,0.342858
