Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.007508,0.000223,0.015005,0.000098,0.022833
1,0.006464,0.000356,0.013883,0.000164,0.020867
2,0.006490,0.000308,0.013191,0.000111,0.020099
3,0.006345,0.000288,0.014051,0.000162,0.020847
4,0.007114,0.000248,0.014406,0.000189,0.021957
5,0.006695,0.000419,0.012408,0.000147,0.019668
6,0.006568,0.000205,0.012141,0.000060,0.018973
7,0.006003,0.000229,0.012282,0.000169,0.018683
8,0.005862,0.000315,0.012854,0.000116,0.019146
9,0.006239,0.000214,0.012188,0.000157,0.018798
