Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.029476,0.000076,0.050517,0.000243,0.080313
1,0.026679,0.000232,0.050884,0.000319,0.078113
2,0.024955,0.000371,0.050180,0.000251,0.075756
3,0.024398,0.000378,0.050297,0.000174,0.075248
4,0.025073,0.000357,0.051492,0.000104,0.077026
5,0.024730,0.000381,0.050471,0.000216,0.075798
6,0.025095,0.000480,0.050481,0.000325,0.076381
7,0.025419,0.000225,0.051309,0.000189,0.077143
8,0.023216,0.000391,0.050723,0.000185,0.074514
9,0.023602,0.000115,0.050494,0.000158,0.074369
