Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.002139,0.000015,0.002527,0.000005,0.004686
1,0.001924,0.000015,0.002486,0.000005,0.004429
2,0.001872,0.000015,0.002494,0.000005,0.004385
3,0.001871,0.000014,0.002491,0.000004,0.004381
4,0.001869,0.000014,0.002492,0.000005,0.004380
5,0.001862,0.000015,0.002493,0.000005,0.004375
6,0.001866,0.000016,0.002497,0.000005,0.004383
7,0.001886,0.000015,0.002481,0.000004,0.004386
8,0.001874,0.000015,0.002498,0.000005,0.004390
9,0.001868,0.000014,0.002488,0.000005,0.004376
