Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.034301,0.000129,0.037197,0.000056,0.071683
1,0.030233,0.000121,0.036529,0.000056,0.066938
2,0.030485,0.000120,0.036562,0.000056,0.067223
3,0.030573,0.000125,0.036730,0.000061,0.067489
4,0.032171,0.000126,0.036193,0.000060,0.068551
5,0.031932,0.000129,0.036233,0.000061,0.068355
6,0.032007,0.000129,0.036349,0.000062,0.068547
7,0.031990,0.000129,0.037895,0.000061,0.070075
8,0.032455,0.000129,0.036125,0.000060,0.068770
9,0.031902,0.000130,0.036205,0.000061,0.068299
