Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.006160,0.000031,0.009669,0.000016,0.015876
1,0.004549,0.000031,0.008308,0.000014,0.012901
2,0.004450,0.000031,0.008288,0.000014,0.012783
3,0.004447,0.000034,0.008228,0.000014,0.012723
4,0.004472,0.000032,0.008044,0.000014,0.012562
5,0.004555,0.000031,0.007980,0.000014,0.012580
6,0.004455,0.000031,0.008081,0.000015,0.012581
7,0.004496,0.000031,0.008057,0.000014,0.012599
8,0.004517,0.000031,0.007948,0.000014,0.012509
9,0.004589,0.000031,0.007930,0.000014,0.012564
