Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.003875,0.000090,0.001935,0.000066,0.005967
1,0.001556,0.000103,0.001733,0.000032,0.003424
2,0.001509,0.000123,0.001400,0.000032,0.003064
3,0.001313,0.000114,0.001417,0.000064,0.002907
4,0.001293,0.000118,0.001278,0.000068,0.002757
5,0.001435,0.000130,0.001283,0.000062,0.002909
6,0.001641,0.000150,0.001351,0.000063,0.003205
7,0.001600,0.000141,0.001367,0.000055,0.003162
8,0.001283,0.000127,0.001333,0.000086,0.002829
9,0.001438,0.000094,0.001317,0.000091,0.002940
