Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.006989,0.000020,0.008991,0.000012,0.016013
1,0.005162,0.000020,0.008724,0.000012,0.013918
2,0.005240,0.000020,0.008641,0.000012,0.013912
3,0.005162,0.000020,0.008667,0.000012,0.013860
4,0.005247,0.000019,0.008768,0.000012,0.014046
5,0.005159,0.000020,0.008695,0.000012,0.013886
6,0.005197,0.000019,0.008660,0.000012,0.013888
7,0.005232,0.000021,0.008550,0.000012,0.013815
8,0.005313,0.000019,0.008609,0.000012,0.013953
9,0.005195,0.000020,0.008575,0.000012,0.013801
