Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.008966,0.000356,0.009265,0.000141,0.018728
1,0.006406,0.000214,0.009633,0.000139,0.016391
2,0.006557,0.000175,0.009244,0.000115,0.016090
3,0.006393,0.000232,0.009563,0.000089,0.016276
4,0.006624,0.000366,0.009489,0.000038,0.016517
5,0.005790,0.000111,0.009330,0.000158,0.015389
6,0.006295,0.000079,0.009412,0.000113,0.015900
7,0.006548,0.000355,0.009594,0.000183,0.016680
8,0.006427,0.000238,0.009390,0.000219,0.016275
9,0.006244,0.000216,0.009164,0.000109,0.015733
