Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.163650,0.000383,0.040133,0.000228,0.204394
1,0.154216,0.000452,0.038024,0.000193,0.192885
2,0.152147,0.000450,0.038670,0.000230,0.191497
3,0.155520,0.000489,0.038801,0.000229,0.195040
4,0.158460,0.000532,0.038162,0.000302,0.197457
5,0.162478,0.000542,0.038206,0.000314,0.201541
6,0.161593,0.000552,0.039721,0.000127,0.201993
7,0.160551,0.000551,0.038607,0.000167,0.199876
8,0.157154,0.000519,0.038129,0.000224,0.196026
9,0.155548,0.000440,0.038773,0.000094,0.194854
