Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.056546,0.000249,0.050713,0.000096,0.107604
1,0.054528,0.000247,0.050271,0.000096,0.105142
2,0.055694,0.000248,0.049437,0.000093,0.105471
3,0.054446,0.000255,0.049614,0.000095,0.104409
4,0.054853,0.000247,0.049634,0.000094,0.104828
5,0.054123,0.000245,0.049924,0.000093,0.104385
6,0.055585,0.000251,0.051637,0.000093,0.107566
7,0.055325,0.000275,0.049632,0.000095,0.105327
8,0.055794,0.000249,0.049654,0.000092,0.105789
9,0.054144,0.000250,0.049368,0.000094,0.103857
