Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.030473,0.000025,0.050871,0.000014,0.081383
1,0.027350,0.000024,0.049862,0.000014,0.077250
2,0.027247,0.000022,0.050127,0.000013,0.077409
3,0.027275,0.000022,0.049907,0.000014,0.077218
4,0.027213,0.000021,0.049934,0.000014,0.077183
5,0.027329,0.000022,0.049848,0.000014,0.077213
6,0.027254,0.000022,0.049889,0.000014,0.077179
7,0.027256,0.000022,0.050765,0.000016,0.078059
8,0.028223,0.000022,0.050432,0.000014,0.078691
9,0.027248,0.000022,0.050012,0.000016,0.077297
