Iteration,InterpTime,NormTime,MoverTime,DenormTime,TotalTime
0,0.007091,0.000181,0.002057,0.000167,0.009496
1,0.002864,0.000253,0.001839,0.000463,0.005420
2,0.002635,0.000252,0.002005,0.000182,0.005073
3,0.002845,0.000247,0.001677,0.000142,0.004911
4,0.002458,0.000272,0.001738,0.000130,0.004598
5,0.002720,0.000282,0.001734,0.000140,0.004876
6,0.002872,0.000297,0.002022,0.000157,0.005348
7,0.002922,0.000294,0.001668,0.000174,0.005059
8,0.002863,0.000298,0.001709,0.000120,0.004990
9,0.002808,0.000348,0.002029,0.000177,0.005363
