Iter, InterpTime(s), MoverTime(s), TotalTime(s)
1, 0.345423, 0.052674, 0.398097
2, 0.345225, 0.052470, 0.397695
3, 0.345399, 0.052387, 0.397786
4, 0.345968, 0.052520, 0.398488
5, 0.345347, 0.052388, 0.397735
6, 0.345489, 0.052533, 0.398022
7, 0.345256, 0.052388, 0.397644
8, 0.345221, 0.052412, 0.397633
9, 0.345178, 0.052471, 0.397649
10, 0.345489, 0.052457, 0.397946
