ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000958,0.000000141
4,0.000001784,0.000000243
8,0.000004044,0.000000993
16,0.000016780,0.000007896
32,0.000093727,0.000060617
64,0.000608634,0.000482615
128,0.004473232,0.003970381
256,0.033654134,0.031590555
512,0.259656986,0.251263799
1024,2.221201567,2.189398854
2048,34.727152535,34.600865465
4096,297.856911768,297.364378899
