ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000891,0.000000144
4,0.000000819,0.000000213
8,0.000002821,0.000000960
16,0.000015552,0.000007006
32,0.000092006,0.000057902
64,0.000613694,0.000480113
128,0.004380466,0.003877037
256,0.032762096,0.030789159
512,0.256763170,0.248735494
1024,2.166087654,2.134820944
2048,34.154897605,34.031223691
4096,295.166512505,294.671279036
